names,degrees,betweenness,eigenvector
King,9,0.04867583396995162,0.310495915497257
Westmorland,3,0.0,0.153353083449317
Falstaff,12,0.1830404889228418,0.35952998867150393
Prince,16,0.3959129106187931,0.42060160105125677
Poins,4,0.0029708853238265,0.15167921726082517
Worcester,9,0.05461336049571343,0.2648203148369441
Northumberland,3,0.0,0.12873795585234415
Hotspur,15,0.3566972243442831,0.34025489624050026
Blunt,4,0.0,0.1606444526312756
1Carrier,3,0.0552584670231729,0.031666919558004485
Ostler,1,0.0,0.00445293320406302
2Carrier,2,0.0,0.03111792234995371
Gadshill,8,0.2107843137254902,0.1896347665907405
Chamberlain,1,0.0,0.02666498914593124
Bardolph,7,0.011734997029114675,0.2181209352406233
Peto,6,0.007575757575757575,0.20549659848748975
1Traveler,4,0.0017825311942959,0.13678407540640622
2Traveler,4,0.0017825311942959,0.13678407540640622
LadyPercy,1,0.0,0.047843110997548975
Servant,1,0.0,0.047843110997548975
Francis,2,0.0,0.08046834649305053
Vintner,1,0.0,0.05914073253876224
Hostess,3,0.0,0.14036462462735363
Sheriff,2,0.0,0.06881702641680776
3Carrier,2,0.0,0.06881702641680776
Mortimer,3,0.00089126559714795,0.09365826184511213
Glendower,2,0.0,0.06101236894181176
Douglas,6,0.014090484678719975,0.2269160607038087
1Messenger,2,0.0,0.08507931439315834
Vernon,3,0.0,0.11698581117208981
Archbishop,1,0.0,6.643325333751816e-10
SirMichael,1,0.0,6.643325333751816e-10
2Messenger,1,0.0,0.047843110997548975
3Messenger,1,0.0,0.047843110997548975
Lancaster,3,0.0,0.153353083449317
